"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"92785b2a42fdcd4c0396c1665a329f8dd4d56fbbd0e059ea16d25adc39ca0f379b53fce760067ed7957363c1b1357563582318d9662eafeb432b46535d7342eb",,"2025-01-31T23:40:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","FIXED OBJECT","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT ON GRADE","ICE","RUT, HOLES","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T23:47:00.000","ROAD ENGINEERING/SURFACE/MARKING DEFECTS","NOT APPLICABLE","3500","W","79TH ST","835",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","23","6","1","41.7498659074","-87.7098231709","POINT (-87.709823170859 41.749865907406)"
"447971b86bc419ce9150989134271c866ffbabbd88a605523172053f7441f26d9a252b3fe6e44d22f68e94c842b67d8fa9d2dbd287f850ae8093f3eb4321ed1d",,"2025-01-31T23:32:00.000","30","OTHER RAILROAD CROSSING","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","RUT, HOLES","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T23:34:00.000","IMPROPER LANE USAGE","IMPROPER TURNING/NO SIGNAL","12100","S","HALSTED ST","524",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","23","6","1","41.6740288828","-87.6419282669","POINT (-87.641928266855 41.674028882796)"
"ef63d4d0741f4b0f93065d2b9b76dbdac465b503d8b4013ab7245ecfc954f2050f43ebf7867305ca04172708a0a384123673a75a7ec54486d4660a61c8933f6a",,"2025-01-31T23:31:00.000","40","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-01-31T23:34:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5300","N","LAKE SHORE DR NB","2023",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","6","1","41.9782491902","-87.6515500022","POINT (-87.651550002246 41.97824919025)"
"113d0a7f9c1d5d7f6fd8c25c33d7098a582f5331527f82109e5e5743761c778cbacc86c6eef4b0d634e3974823cc36d46460caf19bd2554749d4ae41f5b6a996",,"2025-01-31T23:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-01-31T23:54:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","10002","S","TORRENCE AVE","431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","23","6","1","41.7133232188","-87.5598940526","POINT (-87.559894052642 41.713323218802)"
"8d3e073aeaf8e123cc135d04e53cb14283d1af794e5ee0637255e8fa5f3803c16cd59f2ff14e5999df1b29974d2ee4c0a1c29bed74725ebf2cc01c405ab6c35a",,"2025-01-31T23:30:00.000","25","UNKNOWN","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","OTHER OBJECT","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T23:34:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","855","S","CLARK ST","123",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","23","6","1","41.8712897689","-87.6304373082","POINT (-87.630437308192 41.87128976893)"
"504e45cd8e5dcf94c913467c5201dea65f97011d38a0888bf4a34f33b74a5631da855bcf545c9463340578dff93a688160e91ccd50143f4426a1a096a391acbb",,"2025-01-31T23:18:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T23:35:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","5198","S","CENTRAL AVE","811",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","6","1","41.7983293945","-87.7626178132","POINT (-87.762617813217 41.798329394479)"
"3c2cf5f44f94e0393a798eca6810d8743fcca3dd79b929fad271b8f62d55987857e49416d87ae4a246383f6706319ab5b47645380377490cd64329d6d397376d",,"2025-01-31T23:00:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","UNKNOWN","DARKNESS, LIGHTED ROAD","REAR END","ONE-WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-01-31T23:10:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","2806","W","ALBION AVE","2412",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","23","6","1","42.0013095445","-87.7000585205","POINT (-87.70005852048 42.001309544497)"
"a87d48a94f87329a5decf7da8afe97d9aaf99b33fbe18c6fd753ec6aa2efe6bd234d6cd8a10e54e129e4c1609e14097b9411992421fa0fc57f759c24aa91b7f8",,"2025-01-31T22:55:00.000","30","NO CONTROLS","NO CONTROLS","UNKNOWN","UNKNOWN","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2025-02-08T18:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","2842","W","TOUHY AVE","2411",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","1","42.0121414048","-87.7013852567","POINT (-87.701385256691 42.012141404768)"
"f43ef7fe387a6533a58e5af10564ea1fca9c1f0527d27f38668ee501b79606a94560e437bd73203b3cd932bb5840f16b0a78a7c7355dce0f651fbd1cb5054edc",,"2025-01-31T22:50:00.000","40","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-01-31T22:57:00.000","IMPROPER LANE USAGE","NOT APPLICABLE","1600","N","LAKE SHORE DR NB","1814",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","22","6","1","41.9118569525","-87.6261695233","POINT (-87.626169523312 41.911856952541)"
"64551b5653abd88882436d10dd4fd47d5c72f31be41a5f53a6027b9b83cd014b1652bea9b93328b5d7839d665574f42458c99e024cabab2ac7248edc3c124fd4",,"2025-01-31T22:47:00.000","30","NO CONTROLS","NO CONTROLS","OTHER","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","OTHER","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-01-31T22:48:00.000","IMPROPER OVERTAKING/PASSING","UNABLE TO DETERMINE","6001","S","HARLEM AVE","812",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","1","41.7827298793","-87.8009857564","POINT (-87.800985756446 41.782729879297)"
